username,tweet_text
Marina Purkiss@MarinaPurkiss·Jul 10,"If one seemingly made-up sex scandal about a BBC news reporter is enough for Tories and their shills to decry the BBC…

Surely the 7+ genuine sex scandals concerning Tory MPs is enough to bin-off the Tory party altogether?"
BBC News (World)@BBCWorld·5h,"""There is a full-fledged war going on in Europe""

Jens Stoltenberg, Nato Secretary General, says there is no ""risk-free option"" for Nato allies supporting Ukraine but the ""biggest risk is if President Putin wins""

https://bbc.in/46Y50ft"
BBC News (World)@BBCWorld·3h,French to get bonus to make do and mend clothes
Kelvin MacKenzie@kelvmackenzie·23h,"Surprise, surprise. According to BBC News another young man was tapped up by the BBC presenter. This time on an a dating app.  When the chap hinted at naming the presenter he got abusive. The sooner The Sun , or anybody else, names him the better."
BBC News (World)@BBCWorld·4h,"""Moscow doesn't have a veto on that""

Jens Stoltenberg, Nato Secretary General, says Ukraine has right to decide its own path into Nato alongside its allies

President Zelensky confirms this will be ""instrument of integration""

https://bbc.in/46Y50ft"
Josie Gardner   #GTTO #GeneralElectionNow@josiechappers·22h,Where the fuck are Johnsons WhattsApp messages????? Anyone??? Anyone at all?? @BBCNews @SkyNews @SkyNewsBreak @Channel4News @itvnews @ITVNewsPolitics #CovidInquiry #JohnsonTheLiar #BorisJohnsonphone
Graham Lambert @100glitterstars·6h,"This is not the BBC news

But it is news.

The real headline news today is:

Johnson is in contempt of the High Court order to hand over his phone and WhatsApp messages to the Covid inquiry."
Joann Hess@JoannHe28987991·Jul 10,Terminally ill boy dies after final wish fulfilled by Johnny Depp - BBC News
,
PJ Wang@PJWang12·3h,"https://bbc.com/news/uk-england-manchester-66168798.amp… 
 It takes 10 years of training to be a GP
(5 med school, 2 foundation years, 3 years GP training)
It takes 2 years of training to be a PA

Ask for a doctor-especially in GP, it is the very last place to be dealing with an undifferentiated patient cohort"
Lucius Winslow@Lucius_Winslow·Jul 9,"I have noticed a decline in the last few years in the quality of the BBC News website.

Several people (including leftwing friends) have said to me recently that they had noticed it too.

Here is a small example.  New Zealand is not a NATO member.  Where is the proofing?"
KOIKIMEDIA@KoikiMedia·Jul 9,NIGERIA is working under @officialABAT so i am sure the @UN @POTUS @VP @CIA @USAfricaCommand @USinNigeria @CanHCNigeria @MofaJapan_en @10DowningStreet @FCDOGovUK @FCDOtravelGovUK @SkyNews @WIONews @ARISEtv @nytimes @BBCNews @Pontifex @UNPOintl @AFP @itvnews @VICENews @Starradiouk… Show more
Lesley Newton #FBPE@ScarboroughMum·12h,Here’s some real news @BBCNews
Friz Frizzle @FrizFrizzle·Jul 9,Looking forward to the BBC News later.
Nasreen Ebrahim@EbrahimNasreen·4h,"Prime Minister Narendra Modi will visit France on July 13-14

They can make a big defense deal, including the purchase of Rafale-M for the Navy.
According to BBC News, Anil Ambani's defense company also went bankrupt.

The question is what will happen to Rafale now?"
Amy Nickell-Turner@AmyNicks_·5h,"The Sun is highly critical of the BBC news presenter again today but remember:

The paper paid teenagers for explicit images for 45 years, kicking off the business model in 1970 with 16 year old Sam Fox…

Via @GBNEWS"
Debra P - 48/100@debrapet·Jul 11,"Don’t forget, whoever the #bbcpresenter is:

- Inflation is 8.7%
- The interest rate is 5%
- Economic growth is 0.3%
- Public sector net debt is 99% of GDP
- The NHS is crumbling

#bbcpresenter #bbcscandal #bbcnonce #DefundTheBBC #bbcnews #bbc #distraction #media"
BBC News (UK)@BBCNews·6h,"London may face water rationing ""imminently"", leading environmentalist warns"
Tal  #TellThemAgain@talthegooner·2h,"Marion Chesterton said physician associates should be given a different name to clarify their standing

""Physician associate sounds grander than a GP,"" she said.

""she trusted she had seen a doctor"""
CtrlAltDelete@TakingoutTrash7·Jul 9,Any comments @BBCNews ?
Nazrana Khan@Nazran71·Jul 11,"Talk about dropping clues, Vic. I couldn't write this nonsense, but wait, The Sun did #BBCscandal
#bbcpresenter #BBCPresenter #bbcnews #BBCPresenterScandal"
Ren Zelen@RenZelen·7h,"Watching any of our news outlets is pretty pointless. They don’t broadcast ‘news’ any more. I gave up in 2020, and I feel much better informed looking for information from foreign press or a few more specialist specialist outlets. 
@BBCNews @SkyNews @ITVNewsPolitics"
War Paws@WarPawsIraq·6h,"Truly horrific practices being employed by the dog catchers of #erbil, inhumanity at its finest with @Kurdistan poorly executed plan to rid the streets of dogs.Deeply shameful and inhumane behaviour
@KRG_UK @KRG_USA @OmedXoshnaw_ @IKRPresident @masrourbarzani @qubadjt @BBCNews"
Gyll King Post Skip Diplomacy@GyllKing·Jul 9,"If you belly ache about @JustStop_Oil and a bit of orange confetti/powder, an interruption lasting a few minutes, remember that hundreds of thousands of people can march and protest peacefully without a single arrest and the Tory Party's  @BBCNews will not show it. "
BBC News Africa@BBCAfrica·Jul 10," Could anti-slavery efforts in Ghana be doing more harm than good to local communities?

#BBCAfricaEye goes undercover to investigate one of the world’s leading anti-slavery organisations and their West African operations.

 Full film: https://bbc.in/3PPzJFd"
"Liarpoliticians, UK has rogue Parliament+police@liarsinc2·8h","Why doesn't the vile bully Jeremy Vine shut his self obsessed pie hole on the accused BBC presenter, and stick to his attacking drivers (which the @BBC refuses to sack him for). #BBCNews #BBCBreakfast"
Chrissie Grech (v)@ChrissieGrech·16h,"I do hope the @BBCNews pick up on this and talk about #BorisJohnsonphone, Nick."
TonyH1963  @TonyH091963·3h,I think we can all safely assume it's not Paddy 
Chris Rose@ArchRose90·22h,BBC News having a live shot of the outside of their own building has the same vibes as The Simpsons.
,
War Paws@WarPawsIraq·6h,"Truly horrific practices being employed by the dog catchers of #erbil, inhumanity at its finest with @Kurdistan poorly executed plan to rid the streets of dogs.Deeply shameful and inhumane behaviour
@KRG_UK @KRG_USA @OmedXoshnaw_ @IKRPresident @masrourbarzani @qubadjt @BBCNews"
Gyll King Post Skip Diplomacy@GyllKing·Jul 9,"If you belly ache about @JustStop_Oil and a bit of orange confetti/powder, an interruption lasting a few minutes, remember that hundreds of thousands of people can march and protest peacefully without a single arrest and the Tory Party's  @BBCNews will not show it. "
BBC News Africa@BBCAfrica·Jul 10," Could anti-slavery efforts in Ghana be doing more harm than good to local communities?

#BBCAfricaEye goes undercover to investigate one of the world’s leading anti-slavery organisations and their West African operations.

 Full film: https://bbc.in/3PPzJFd"
"Liarpoliticians, UK has rogue Parliament+police@liarsinc2·8h","Why doesn't the vile bully Jeremy Vine shut his self obsessed pie hole on the accused BBC presenter, and stick to his attacking drivers (which the @BBC refuses to sack him for). #BBCNews #BBCBreakfast"
Chrissie Grech (v)@ChrissieGrech·16h,"I do hope the @BBCNews pick up on this and talk about #BorisJohnsonphone, Nick."
TonyH1963  @TonyH091963·3h,I think we can all safely assume it's not Paddy 
Chris Rose@ArchRose90·22h,BBC News having a live shot of the outside of their own building has the same vibes as The Simpsons.
BBC News (UK)@BBCNews·7h,Food bank volunteers to wear body cameras after being spat at
Benito Underhill@benitounderhill·22h,If Huw Edwards presents the #BBC News at Ten this evening it’ll be the greatest twist in a TV drama for years  . It’ll be similar to Bobby Ewing turning up in the shower or Harold Bishop walking into the coffee shop. #huwedwards
steven graham@steven_coyw·Jul 10,"@BBCNews my gran is really upset that you Hew Edwards has been removed from your bbc proms team, is he unwell????"
SHANE REACTION@imshanereaction·18h,BBC News reporting on the BBC's response to complaints about a BBC employee
BBC News (World)@BBCWorld·10h,G7 to announce long-term security deal for Ukraine
Tangerine Dreamer@TWFDUFC83·21h,"Another SNP good news story 
@BBCScotland @BBCNews @STVNews @SkyNews @itvnews @jackiebmsp @Douglas4Moray @GMB @Channel4News @BBCRadioScot @theSNP @c4news @AnasSarwar @PeterAdamSmith @GlennBBC @mmgeissler @mrjamesob"
REC@rec777777·7h,"Fair point

The #hypocrites at @BBCNews should take note, if trying to defend the pervert factory today.

#JeremyVine @jonsopel @LeeAndersonMP_"
"Biker Gary, Reform is the new Conservative@BikerGary17·Jul 10","No license, let me know who heads up BBC, News at 10. "
Roger Ward @RogWard·6h,"Dear @BBCNews 

I've just checked. Why is there absolutely no coverage of this vital story on your news or politics pages?
#BorisJohnsonsphone 
Boris Johnson fails to hand over mobile containing Covid WhatsApp messages as inquiry's deadline passes @LBC"
Blue is the colour @03May66·5m,Hey....@BBCNews Where's the convid headline title gone??....that quietly slipped away....are you fed up with it now??....old news??....aaah well just a couple more fake titles to go and you're there #ClimateScam
My dad was a toolmaker #Ready4Bollard@HumanBollard·4h,"Where’s Huw Edwards?

Haven’t seen him on Telly for a week"
VizagPanda@VizagPanda·3h,"Ohh Yes.. BBC news is run , fed , maintained by Eenadu group In Telugu, now connect the dots"
 Josh tweets Deeds not Words @GestaNonVerba·20h,"Don’t forget, whoever the #BBCpresenter is:

 Inflation = 8.7%
 Interest rate = 5%
 Economic growth = 0.3%
 Public sector net debt > 100% of GDP
 NHS = failing

#UKeconomy | #BBCnews | #DefundTheBBC | #BBC"
Fake Showbiz News@FakeShowbizNews·9h,"Sophie Raworth returns to BBC News after serving six-week suspension for sneaking Beach Boys song titles into her bulletin scripts.

“They’ve made me promise I’ll never do it again,” she told reporters"
chiller ★@chiller·5h,"Has #BorisJohnson been arrested yet?

Have @BBCNews @SkyNews @itvnews @Channel4News main headlined the fact that he's broken a high court order and hasn't been arrested?

Who is protecting this criminal?  

#BorisJohnsonPhone"
Sarah sticking with the truth@sarah_owl3·Jul 8,"Furries are reported on positively @bbcnews
""Jake who attended the display dressed as a wolf...""
Why is Jake dressed as a wolf, and what does it have to do with Pride? 
BBC News - Bristol Pride Day: Thousands take part in celebrations
https://bbc.co.uk/news/uk-england-bristol-66142435…"
Cllr Gerry McLaughlan@gerrymcsnp·Jul 9,SNP politician interviewed but not charged-wall to wall coverage and naming by @BBCNews and @BBCScotlandNews . BBC presenter pays for illegal and indecent photos from underage person ; not named “he has a right to privacy until charged!” . BBC the mouthpiece of the establishment
,
Blue is the colour @03May66·5m,Hey....@BBCNews Where's the convid headline title gone??....that quietly slipped away....are you fed up with it now??....old news??....aaah well just a couple more fake titles to go and you're there #ClimateScam
My dad was a toolmaker #Ready4Bollard@HumanBollard·4h,"Where’s Huw Edwards?

Haven’t seen him on Telly for a week"
VizagPanda@VizagPanda·3h,"Ohh Yes.. BBC news is run , fed , maintained by Eenadu group In Telugu, now connect the dots"
 Josh tweets Deeds not Words @GestaNonVerba·20h,"Don’t forget, whoever the #BBCpresenter is:

 Inflation = 8.7%
 Interest rate = 5%
 Economic growth = 0.3%
 Public sector net debt > 100% of GDP
 NHS = failing

#UKeconomy | #BBCnews | #DefundTheBBC | #BBC"
Fake Showbiz News@FakeShowbizNews·9h,"Sophie Raworth returns to BBC News after serving six-week suspension for sneaking Beach Boys song titles into her bulletin scripts.

“They’ve made me promise I’ll never do it again,” she told reporters"
chiller ★@chiller·5h,"Has #BorisJohnson been arrested yet?

Have @BBCNews @SkyNews @itvnews @Channel4News main headlined the fact that he's broken a high court order and hasn't been arrested?

Who is protecting this criminal?  

#BorisJohnsonPhone"
Sarah sticking with the truth@sarah_owl3·Jul 8,"Furries are reported on positively @bbcnews
""Jake who attended the display dressed as a wolf...""
Why is Jake dressed as a wolf, and what does it have to do with Pride? 
BBC News - Bristol Pride Day: Thousands take part in celebrations
https://bbc.co.uk/news/uk-england-bristol-66142435…"
Cllr Gerry McLaughlan@gerrymcsnp·Jul 9,SNP politician interviewed but not charged-wall to wall coverage and naming by @BBCNews and @BBCScotlandNews . BBC presenter pays for illegal and indecent photos from underage person ; not named “he has a right to privacy until charged!” . BBC the mouthpiece of the establishment
Dan Lennington@DanLennington·Jul 11·,"International Embarrassment. Wisconsin Guv's 400-year veto lampooned @BBCNews for locking in spending until the year 2424. 
""Unprecedented brand-new way to screw the taxpayer"" @repvos 
""Ridiculous way to make law"" @RickEsenberg@WILawLiberty"
Ian   #FBPPR #FBPE #GTTO #rejoinEU@connelly_ian·1h,"Ben Wallace can do one
I am grateful for Ukraine’s sacrifice and holding Putin back
Without Ukraine, Putin would now be on NATO soil and WW3 would be upon us"
Mark@_phantom_1974·13h,"So much time being dedicated by @BBCNews, @SkyNews and most of the MSM to the ‘unknown’ #BBCPresenter story!

So what is being hidden?
1) #BorisJohnson WhatsApp messages?
2) #GeorgeOsborne email story?

#SomethingDodgyGoingOn"
KYLE@ItsThatEM·Jul 9,The BBC when BBC news asks for comment
Helen.B ማይ ዳዕሮ@Helen287223432·Jul 10,"War crimes in Tigray may be covered up or forgotten @_AfricanUnion ⁦@EmmanuelMacron⁩ @BBCNews⁩
 @UhuruKE
@SenateForeign
@SecBlinken
 ⁦@JosepBorrellF⁩"
Hoolley@MorelandJo·6h,5 days blanket coverage of a bbc presenter is a distraction. I don't care one fig about this presenter.  Why would any intelligent person not see what's happening here? Is Johnson going to be held accountable?
Joshua Styles@joshual951·Jul 11,"Hi @BBCNews, the lethal dose of hemlock is rather large. It would take a person eating a large handful (c.30g) to become seriously ill from conine, while the RHS has identified >130 highly toxic plants that commonly grow in gardens

Stop demonising nature"
Richard Willett@WTAFRich·7h,At the top of the @BBCNews broadcasting house sits the Saturn hour glass encircled by the Winged Serpent (death and Time). This is above the Eric Gill statue. The clock is the eye of Providence or Saturn.
NEW ERA OF HOA   & ECONOMY INTEGRATION@yemanekeleta·Jul 11,"Why are  @10DowningStreet
@EU_Commission allowing hooligans, to disturb ns full gathering, hurting European police & now z same hooligans, promised to burn London, , but  @metpoliceuk @UKMetroPolice EU r silent? @BBCNews @AFP @UN @dwnews @RT_com
https://bbc.com/news/world-europe-66145900…"
Dave     ( also @drgee@mas.to)@davidrghendy·8h,"If the Sun refuses to be questioned by @BBCR4Today about its allegations I'm finding hard to understand why @BBCNews feels obliged to repeat them at length.

#r4today"
BBC News Africa@BBCAfrica·5h,"Iran's President Ebrahim Raisi begins a rare Africa tour, starting off in Kenya.

This is the first time that an Iranian president has visited Africa for more than 10 years. 

https://bbc.in/3PT3tkE"
Lady Lawson of Galloway  #FBPE #GTTO@SusanlLawson·7h,Is there a 'media embargo' or 'super injunction' in relation to reporting anything about why the ex PM is in breach of a court order #BorisJohnsonsphone ? @BBCNews @itvnews @SkyNews @Channel4News
Hayley@hayleysoen·Jul 8,Not bbc news saying they went to the bbc for comment about the presenter scandal and the bbc told the bbc no comment 
lan Byrne MP@IanByrneMP·Jul 11,@BBCnews Wheeling out Kelvin MacKenzie to discuss truth in the tabloid media is beyond tone deaf & an appalling insult to #Hillsborough families & survivors. Do better. #JFT97
August@AugustLund0·Jul 9,"Data suggest that the story is very different from what @BBCWorld claims...research from University of Adelaide says most ""bot"" and disinformation comes from UKR side, not RUS side....but who cares about facts anymore? certainly not media like @BBCNews
https://bbc.com/news/world-europe-66113460…"
Dr Amy-Jane Beer@AmyJaneBeer·Jul 11,"FFS. Instead of running something helpful and informative after the stupid hemlock story the BBC just piling on the paranoia here. You forgot bluebells, btw.

UK poisonous plants: The dangerous plants lurking in plain sight - BBC News"
WrexhamAFC in Essex@Essexredhed·53m,"#bbcnews what planet is Jeremy Vine from??, calling out his fellow presenters, when nothing has been proved??. #donttrustvine"
Gareth Davies@GarethDavies007·3h,"This is why @BBCNews does this

If you look at the bottom you’ll see they use £5000 bands

So by making @thehuwedwards salary £439999 and not £440000 it keeps him in a lower band when they’re reporting salaries 

Cunning as @TonyRobinsonOBE would

#bbcsalaries #bbcpresenter"
sandieshoes @sandieshoes·Jul 9,"Stewart Hall
Rolf Harris 
Jimmy Savile
Martin Bashir
Unnamed presenter.

The BBC need to clean up their act don’t they.
Over & over they delighted in reporting what they called sleaze in the Tory party.

Look closer to home.
@BBCNews 
Most galling is the license payers fund you."
Andrew@CourierBoyUK·1h,"The #BBCNews Channel breaks occasionally for a few minutes of prerecorded items
Wonder if they’re running adverts for non-UK audiences"
Sarah Ingram  #GeneralElectionNow@WittyWearer·21h,I'm more interested in #BorisJohnsonphone than his many children @BBCNews
Simon Gilbert @simon_gunyah·Jul 11,"Oddly , this has not been reported by the BBC News .
Must be an oversight I guess ."
Dr Aseem Malhotra@DrAseemMalhotra·Jul 11,"THE DARK SIDE OF HEART STENTS 

50% of heart stent procedures in the United States ‘inappropriate’ wasting $2.4 billion dollars 

My @JAMAInternalMed editorial made BBC News https://bbc.com/news/health-27983779.amp…

To help disseminate the truth & change system support http://nopharmfilm.com"
Lordwessenden123 for PM @Lordwessenden12·8h,Let’s keep it trending #BorisJohnsonsphone where is it #CovidInquiry and why aren’t @BBCNews @SkyNews @LBC talking about it and the consequences for @BorisJohnson of not handing it over.
Miguel R. Camus@miguelrcamusINQ·2h,I can understand why many found it offensive. It’s valid. But I cannot understand why some supposedly offended people feel the need to speak out now but were docile little sheep when that other thing happened (story below). Is that hypocrisy or opportunism?
Neil Gaiman@neilhimself·Jul 9,Nobody I repeat nobody could possibly ever have seen this coming. I'm shocked I tell you.
Gareth Williams.@history99917180·6h,"Watched the BBC news at 10pm last night. It was being presented by a lady news reader. 

Utilising all my skills as a former Detective Sergeant I think I’ve figured out who everyone is talking about. I’m not just a pretty face."
BBC News (UK)@BBCNews·6h,Disabled fans struggle to get Taylor Swift Eras Tour Wembley tickets
Mary England@eng44540628·Jul 10,"Biden criticises 'most extreme' Israeli ministers https://bbc.com/news/world-middle-east-66153156?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=66153156%26Biden%20criticises%20%27most%20extreme%27%20Israeli%20ministers%262023-07-10T14%3A25%3A52.000Z&ns_fee=0&pinned_post_locator=urn:bbc:cps:curie:asset:2ffb3a47-cb98-4984-b595-95bba20dac40&pinned_post_asset_id=66153156&pinned_post_type=share… via @BBCNews 

Not going to stop funding them, are they? US is
criminally hypocritical."
Mariko Oi 大井真理子@BBCMarikoOi·4h,"The UN to launch an investigation into alleged sexual assaults by the late Johnny Kitagawa 

Original report by @Mobeen_Azhar @megumiinmanhttps://bbc.co.uk/news/world-asia-64837855.amp…"
Bizzy Rizzy@BizzyRhodes·Jul 8,GUESS WHAT ETHNICITY OWNS CHOP SHOPS IN BIRMINGHAM!!! Large quantity of stolen car parts found in Birmingham raids - BBC News
Lady Rodica Bercu@rodica_bercu·20m,Hey #mowgli say something to the camera  on @BBCNews I definitely kiss    feel to kisses  all of you mwaa   #London
Rui Cardoso@ruicardoso1995·Jul 11,Sickening propaganda from @BBCNews. It is demonstrably false that wage increases lead to inflation. The BBC once again revealing themselves to be the lapdogs of the parasitic capitalist class as they prepare to inflict further pain and misery upon the working class. (1/3)
sam shatterface@SShatterface·21h,Not a single story on #bbcnews about #BorisJohnsonphone failing to be handed in to #CovidInquiry. Very obvious why we have constant coverage of the #BBCPresenterScandal. Cary popping another perfectly timed baby out also helping. When will the media stop protecting this traitor.
Kuntie Plopkins@KuntiePlopkins·7h,"Another day, same distraction in the media & no mention of Boris Johnson's failure to provide the #CovidInquiry with his old phone & whatsapp messages. @BBCNews @SkyNews
Another complaint to the BBC
03700 100 222 & another email to the chairman 
tim.davie@bbc.co.uk"
markfrommellor@markfrommellor·18h,Almost half of @BBCNews devoted to the #BBCPresenterScandal tonight; nothing about #GeorgeOsborne or #BorisJohnsonphone messages - job done #ToryScum
BBC News (UK)@BBCNews·9h,"Wales fails to attract overseas visitors, say MPs"
BBC News (World)@BBCWorld·8h,"Giant panda gives birth to twins for first time in South Korea
https://bbc.in/44nbGSm"
Sean Callaghan@keanespirit·22h,"So true. Why don’t the @BBCNews lead the way while taking some of the heat off themselves by asking “Where is #BorisJohnson’s phone?” 

 #BorisJohnsonphone"
Phil Latham@lathamphil1·Jul 9,"The @BBCNews are literally covering up and hiding the identify of a six figure salary presenter who paid money to a teenager for explcit pictures while they also remain on full pay.

If it was the @Conservatives
the name would be fully exposed by now!

It's time to @DefundBBC"
Chris Lansdell @Chris_Lansdell·Jul 10,This is just idiotic scaremongering reporting ⁦@BBCNews⁩ ⁦@BBCSuffolk⁩ Hemlock is an extremely common plant that has grown side by side with humans for thousands of years and causes very little to no harm. Anger? At who exactly? 
The Kendalorian@LazarusKen2·22h,"#bbcpresenter is all over the news, but we’ve had barely a peep about the fifteen, yes fifteen, MPs currently suspended for serious misconduct, including sexual misconduct. Any comments on them @BBCNews @RishiSunak @Conservatives ?"
Jatinder Hayre@JatinderHayre_·3h,"Excellent that @BBCNews is publicising this abhorrent, and completely avoidable tragedy. 

And a bonus that they got the name right, this time! “Physician associate” — remember that. 

@Xeon4f145d96s1 @Dr_Done_"
Moira O'Donnell@NatureLark·21h,"Here's a headline for you @BBCNews - ""Croydon woman touches Hemlock Water-dropwort and miraculously survives""."
Peter Baum@baum_p·5h,"https://guardian.ng/news/terrorists-kill-231-persons-in-mangu-council/…
FACT 
Muslims butcher 250 indigenous black African women & children two days ago in Nigeria & the @BBCNews totally ignores as do ALL our  MPs
Perhaps those butchered by the Islamists should call themselves Palestinian - the BBC will send a swarm of pervy… Show more"
A.J.West @AJWestAuthor·9h,"As a BBC news presenter who got sacked after standing up for myself publicly as an openly gay man, the mishandling and homophobia at the BBC and in the media generally comes as no surprise at all. Gay men are being demonised as perverts. It is all quite deliberate. Vile."
REC@rec777777·Jul 10,"So the BBC managed to turn the TV licence fee into a coke habit for a teen via one of it's 'stars'.

We just don't know which one yet.

Cue mental health issues, coming out and group hugs no doubt.

Lessons learned...

@BBCNews"
Steve Keen #FBPE #FBPPR #RejoinEU @surreyhillock1·18m,"Search the @bbcnews website for ""Johnson"" and THIS is all you get - nothing about his contempt by failing to hand over his phone. @bbc failings are not just about dodgy presenter investigations but their political cover-ups. Apologies for sick picture"
D@vid Milne  @tammilne61·Jul 9,"In case you didn’t see this on the @BBCNews yesterday. I see Impartiality is going well for them, a bit the the nonce presenter that they are protecting. Next 24 hours will see his name plastered all over social media and rightly so."
Verity Kalcev@VerityKalcev·21h,Shocking that #TimDavie & #BBCnews think we're more interested in #BBCPresenter non-story than #LiarJohnson's latest 'crime'. #BorisJohnsonPhone
Dave     ( also @drgee@mas.to)@davidrghendy·9h,"Just about the only reason for tuning into @BBCR4Today these days is to find out which stories @BBCNews has been told not to report.
Are there any journalists with a backbone still working at the organisation?
#r4today"
davyjo @davyjo2222·8h,BBC News - New Renault-Geely engine firm to have headquarters in UK
D@vid Milne  @tammilne61·Jul 9,"In case you didn’t see this on the @BBCNews yesterday. I see Impartiality is going well for them, a bit the the nonce presenter that they are protecting. Next 24 hours will see his name plastered all over social media and rightly so."
Verity Kalcev@VerityKalcev·21h,Shocking that #TimDavie & #BBCnews think we're more interested in #BBCPresenter non-story than #LiarJohnson's latest 'crime'. #BorisJohnsonPhone
Dave     ( also @drgee@mas.to)@davidrghendy·9h,"Just about the only reason for tuning into @BBCR4Today these days is to find out which stories @BBCNews has been told not to report.
Are there any journalists with a backbone still working at the organisation?
#r4today"
davyjo @davyjo2222·8h,BBC News - New Renault-Geely engine firm to have headquarters in UK
Stuart Laycock #breathingafterbrexit (just)@Bedwas50·9h,What are you doing about it? @BBCPolitics @bbc5live @BBCBreakfast @BBCBreaking @BBCNews
 .H. @GhostLizardBWFC·Jul 10,Everyone watching BBC 1 at about 9.59pm tonight to see who is presenting....#bbcnews
Chris Dolan@realChrisDolan1·2h·,Russian submarine commander killed while jogging in the  city of Krasnodar was likely tracked by an “unknown person” on his Strava running app.
Scouse Brexiteer @BrexiteerScouse·Jul 11,"They, the @wef controlled #Tories @Conservatives wouldn't dare try to enforce this upon us, would they... @AlwaysBrexit   @HouseofCommons @UKHouseofLords @ukhomeoffice @GBNEWS  @BBCNews @BBCBreakfast @skynews @itvnews @GMB @Channel4News @TalkTV @LBCNews"
,
D@vid Milne  @tammilne61·Jul 9,"In case you didn’t see this on the @BBCNews yesterday. I see Impartiality is going well for them, a bit the the nonce presenter that they are protecting. Next 24 hours will see his name plastered all over social media and rightly so."
Verity Kalcev@VerityKalcev·21h,Shocking that #TimDavie & #BBCnews think we're more interested in #BBCPresenter non-story than #LiarJohnson's latest 'crime'. #BorisJohnsonPhone
Dave     ( also @drgee@mas.to)@davidrghendy·9h,"Just about the only reason for tuning into @BBCR4Today these days is to find out which stories @BBCNews has been told not to report.
Are there any journalists with a backbone still working at the organisation?
#r4today"
davyjo @davyjo2222·8h,BBC News - New Renault-Geely engine firm to have headquarters in UK
Stuart Laycock #breathingafterbrexit (just)@Bedwas50·9h,What are you doing about it? @BBCPolitics @bbc5live @BBCBreakfast @BBCBreaking @BBCNews
 .H. @GhostLizardBWFC·Jul 10,Everyone watching BBC 1 at about 9.59pm tonight to see who is presenting....#bbcnews
Chris Dolan@realChrisDolan1·2h·,Russian submarine commander killed while jogging in the  city of Krasnodar was likely tracked by an “unknown person” on his Strava running app.
Scouse Brexiteer @BrexiteerScouse·Jul 11,"They, the @wef controlled #Tories @Conservatives wouldn't dare try to enforce this upon us, would they... @AlwaysBrexit   @HouseofCommons @UKHouseofLords @ukhomeoffice @GBNEWS  @BBCNews @BBCBreakfast @skynews @itvnews @GMB @Channel4News @TalkTV @LBCNews"
Debra P - 48/100@debrapet·Jul 10,Senior BBC executives arrive at Broadcasting House for a crisis meeting #bbcpresenter #bbcscandal #bbcnonce  #DefundTheBBC #bbcnews
